objectid,parentid,title,display_location,date,active_years,biographical_notes,subject,visual_description,size,artists,printers,publishers,institutions,associated_techniques,intaglio_specific,lithography_specific,relief_specific,screenprint_specific,other_techniques,website,source,submitter,credit,display_template,filetype,filename,object_location,image_small,image_thumb
10120,,Fred Genis,,,1965-1972,Tamarind Institute printer fellow December 1966-July 1967,Image,Animal; Bird; Chicken; Silhouette; Hen; Rooster; Farm,unknown,Willem De Kooning; Robert;Rauschenberg; Jasper Johns; John Cage; James Rosenquist; Gerrit Benner; Jacques Liptchitz; Lucebert; Theo Kijpers; Bret Whiteley; Tim Storrier; Lloyd Rees; John Olsen; Guan Wei; John Firth Smith; Lois Long; Josef Albers; William Crutchfield; William Gropper; Edwin Schlossberg; Helen Frankenthaler; Robert Motherwell; Lucebert; Theo Kujipers; Don Nice; Mark Tobey; Colin Lanceley; Brian Dunlop; Tim Storrier; John Olsen; Robert Jacks; Donald Friend,Kenneth Tyler; Zigmunds Priede; James Sheehy; Robert de la Rocha; James Webb; Charles Ritt; Octavio Pereira; Calvin Sumsion; Irwin Hollander; Donn Steward; Christopher Pullman,Tamarind Institute; Gemini G.E.L.; Universal Limited Art Editions; Hollander Graphic Workshop; Castelli Graphics; Knoedler and Co.,Minneapolis Institute of Art; National Gallery of Art; Detroit Institute of Arts; RISD Museum; Art Gallery of New South Wales; National Gallery of Australia; Metropolitan Museum of Art; Toledo Museum of Art; Limerick City Gallery of Art; The Art Institute of Chicago; Smithsonian American Art Museum; Archeus/Post-Modern; Canton Museum of Art,,,,,,,https://fredgenis.com/,,Abigail Shim,,image,.png,10120.png,/objects/10120.png,/objects/small/10120_sm.jpg,/objects/thumbs/10120_th.jpg
10007,,Landfall Press,"Chicago, IL (1970 - 2004); Santa Fe, NM (since 2004)",,1970 - circa 2019,,Letter; Shape,L shape in square,unknown,,Jack Lemon; Steve Campbell,Black Rock Editions; Tamarind Institute; Parasol Press; Petersburg Press; Multiples Inc,Milwaukee Art Museum,Intaglio,,,,,,,,Theresa Engelbrecht,,image,.jpg,10007.jpg,/objects/10007.jpg,/objects/small/10007_sm.jpg,/objects/thumbs/10007_th.jpg
10017,,Bank Street Atelier,"New York, NY",,1969 - circa 1980,,Image; Letter,object; letters; printmaking press; image; B; S; A,unknown,Alexander Calder; Willem de Kooning; Red Grooms; Al Hirschfeld; Ellsworth Kelly; Romare Bearden; Fairfield Porter; Jasper Johns; Frank Stella; Alex Katz,Jacques Mourlot,Mourlot Editions,,,,,,,,http://www.georgejgoodstadt.com/gallery/tablet/our-history.html,,Theresa Engelbrecht,,image,.JPEG,10017.JPEG,/objects/10017.JPEG,/objects/small/10017_sm.jpg,/objects/thumbs/10017_th.jpg
10018,,SOLO Impression,"Bronx, NY",,1975 - present,,Image,Hand with pointer finger pointing,unknown,Ghada Amer; Reza Farkhondeh; Louise Bourgeois; R.M. Fischer; Kent Henricksen; Gilah Hirsch; Beryl Korot; Alan McCollum; Liliana Porter; Elaine Reichek; Kay Rosen; Lynda Benglis; Richard Bosman; Fran�oise Gilot; Grace Graupe- Pillard; Howard Hodgkin; Joyce Kozloff; Robert Kushner; Christian Marclay; Maya Lin; Whitfield Lovell; Michael Mazur; Betye Saar; Nancy Spero; Richard Tuttle; Andrea Zittel; Sonya Clark; Howardena Pindell; Elaine Reichek;,Judith Solodkin; Rodney Doyle,Tamarind Institute,,,,,,,,https://www.soloimpression.com/index.html,,Theresa Engelbrecht,,image,.jpeg,10018.jpeg,/objects/10018.jpeg,/objects/small/10018_sm.jpg,/objects/thumbs/10018_th.jpg
10121,,Ronald Glassman,"Los Angeles, CA",,circa 1969,Tamarind Institute printer fellow September 1968-July 1969,Image; Shape,Robot; rectangle; person; human,unknown,Ed Ruscha; Hugh Townley; Rafael Canogar; John Hunter; Sam Francis,,Tamarind Institute,Fine Arts Museum of San Francisco; Norton Simon Museum; Amon Carter Museum of American Art; Los Angeles County Museum of Art,,,,,,,,,Abigail Shim,,image,.png,10121.png,/objects/10121.png,/objects/small/10121_sm.jpg,/objects/thumbs/10121_th.jpg
10122,,Bohuslav Horak,,,circa 1960-1963,"Tamarind Institute printer fellow November 1960-July 1961, Tamarind Institute technical director July 1961-June 1963",Letter,Initials; circle; H; B; letters; alphabet; capital,unknown,Glen E. Alps; Adja Yunkers; Clinton Adams; Sam Francis; Richard Diebenkorn; John McLaughlin; Misch Kohn; June Wayne; Reuben Kadish,Irwin Hollander,Tamarind Institute,Detroit Institute of Arts; National Gallery of Art; Hammer Museum; Richard Diebenkorn Foundation; Norton Simon Museum; Fine Arts Museum of San Francisco; Art Institute Chicago,,,,,,,,,Abigail Shim,,image,.png,10122.png,/objects/10122.png,/objects/small/10122_sm.jpg,/objects/thumbs/10122_th.jpg
10009,,Brand X Editions,"Long Island City, NY",,Established 1979,,Letter,letter; X,unknown,Roy Lichtenstein; Chuck Close; Jenny Holzer; Alex Katz; Jennifer Bartlett; Kaws; Mickalene Thomas,Robert Blanton,,Metropolitan Museum of Art; NY; the Museum of Modern Art; NY; the Whitney Museum of American Art; NY; the Philadelphia Museum of Art; PA; the San Francisco Museum of Modern Art; the Walker Art Center; MN; the Tate Gallery; London,,,,,,,https://www.brandxeditions.com/,,Saluti,,image,.png,10009.png,/objects/10009.png,/objects/small/10009_sm.jpg,/objects/thumbs/10009_th.jpg
10123,,Edward Hughes,,,circa 1967-1968,Tamarind Institute printer fellow September-December 1967 and March-August 1968,Letter; Shape,horizontal; initials; H; E; name; initial; circle,unknown,Michael Mazur; Ed Moses; Billy Al Bengston; Eleanor Mikus,,Tamarind Institute,Norton Simon Museum; National Gallery of Art,,,,,,,,,Abigail Shim,,image,.png,10123.png,/objects/10123.png,/objects/small/10123_sm.jpg,/objects/thumbs/10123_th.jpg
10124,,Harold Emerson Keeler,"Seattle, WA",,circa 1939-1962,Tamarind Institute printer fellow August 1961-February 1962,Letter,Handwriting; Initial; initials; Name; letter; H; K; E,unknown,Charles F Ramus; Richard Diebenkorn; Frederick Sommer; William Brice; Misch Kohn; Harold Altman; Prentiss H. Taylor; Emerson Woelffer; Joyce Wahl Treiman; Richards Ruman,William Traher,Tamarind Institute,National Gallery of Art; Smithsonian American Art Museum; Los Angeles County Museum of Art,,,,,,,https://www.annexgalleries.com/artists/biography/1213,,Abigail Shim,,image,.png,10124.png,/objects/10124.png,/objects/small/10124_sm.jpg,/objects/thumbs/10124_th.jpg
10125,,Donald Kelley,"Los Angeles, CA; Cincinnati, OH",,circa late 1960s,Tamarind Institute printer fellow September 1966-January 1968 and September 1968-June 1969,Image,clover; plant; nature; four; heart,unknown,Seymour Rosofsky; James Boynton; Ed Ruscha; Leon Polk Smith; H.C. Westermann; Clinton Adams; Ken Price; Hedda Sterne,Manuel Fuentes; Jean Milant; Kenjilo Nanao; Robert Rogers; Dan Socha; John Sommers; Louise Nevelson,Tamarind Institute,Amon Carter Museum of American Art; Smithsonian American Art Museum; National Gallery of Art; RISD Museum; Norton Simon Museum,,,,,,,,,Abigail Shim,,image,.png,10125.png,/objects/10125.png,/objects/small/10125_sm.jpg,/objects/thumbs/10125_th.jpg
10126,,Douglas Kendrick,,,circa early 1970s,Tamarind Institute printer fellow January 1973-June 1974,Letter; Shape,circle; initials; design; name; K; D; dot,unknown,Martyl; Gerald Johnson,,Tamarind Institute,Smithsonian American Art Museum; Hammer Museum,,,,,,,,,Abigail Shim,,image,.png,10126.png,/objects/10126.png,/objects/small/10126_sm.jpg,/objects/thumbs/10126_th.jpg
10127,,Don Kinner,,,circa 1971,Tamarind Institute printer fellow September 1971-March 1972,Image,Symbool; halo; prism; imagery; wings; stripes; star,unknown,Paul Sarkisian,Chris Cordes; John Maggio; John Butke; Lloyd Baggs; Robert Arber; Wayne Kimball; Wayne Simpkins,Tamarind Institute,,,,,,,,,,Abigail Shim,,image,.png,10127.png,/objects/10127.png,/objects/small/10127_sm.jpg,/objects/thumbs/10127_th.jpg
10128,,Michael Knigin,"Los Angeles, CA; Jerusalem, Israel",,Early 1970s,Tamarind Institute printer fellow October-December 1964,Letter,lines; K; Name; Initials,unknown,Andy Warhol; Roy Lichtenstein; Paul Jenkins; Jules Olitski; Rufino Tamayo,,Chiron Press; Waddington Graphics; Tamarind Institute,Norton Simon Museum; RISD Museum; National Gallery of Victoria,,,,,,,https://davidbarnettgallery.com/artist/michael-knigin,,Abigail Shim,,image,.png,10128.png,/objects/10128.png,/objects/small/10128_sm.jpg,/objects/thumbs/10128_th.jpg
10129,,Anthony Ko,"Los Angeles, CA",,circa late 1960s,Tamarind Institute printer fellow September-December 1966 and September 1968-June 1969,Shape,Triangle; lamp; boat; vessel;,unknown,Louise Nevelson; Hedda Sterne; Ernst Van Leyden,,Tamarind Institute,National Gallery of Art; Norton Simon Museum; Amon Carter Museum of American Art,,,,,,,,,Abigail Shim,,image,.png,10129.png,/objects/10129.png,/objects/small/10129_sm.jpg,/objects/thumbs/10129_th.jpg
10130,,Aris Koutroulis,"Los Angeles, CA",,circa 1963-1990s,Tamarind Institute printer fellow February 1963-July 1964,Letter,Initials; initial; A; K; font; typography,unknown,James Kelly; Nathan Oliveira; Sam Francis; Peter Takal; David Hockney; June Wayne; John Grillo; Gabriel Kohn; JunÕichiro Sekino; Dick Wray; Josef Albers; Hugo Weber; Anni Albers; Robert Morris; John McLaughlin; Theo Wujcikat; Gordon Newton; Agnes Denes,Kenneth Tyler; Walter S. Hamady,Tamarind Institute; Friends of the Modern Art Acquisition Fund; The Friends of the Modern Art of The Detroit Institute of Arts; Gloria Cortella Graphics,Amon Carter Museum of American Art; National Gallery of Art; Detroit Institute Arts Museum; Minneapolis Institute of Art Collection; Norton Simon Museum; Victoria & Albert Museum; Art Institute Chicago; Museum of Modern Art,,,,,,,https://www.annexgalleries.com/artists/biography/1288/Koutroulis/Aris,,Abigail Shim,,image,.png,10130.png,/objects/10130.png,/objects/small/10130_sm.jpg,/objects/thumbs/10130_th.jpg
10131,,Ron Kraver,,,circa 1971,Tamarind Institute printer fellow September 1970-October 1971,Letter,X; cross; type; splatter; stain; blood;,unknown,Gerald Johnson; Edna Andrade,,Tamarind Institute,Hammer Museum,,,,,,,,,Abigail Shim,,image,.png,10131.png,/objects/10131.png,/objects/small/10131_sm.jpg,/objects/thumbs/10131_th.jpg
10132,,Ian Lawson,"Herefordshire, England",,circa 1966-1988,Tamarind Institute printer fellow July-September 1966,Shape,Circle; Circles; geometric; line; ring; mountain; peace,unknown,Don Nice; Alan Davie; Ed Moses; Masuo Ikeda; Jesse Reichek; John Hoyland,,Tamarind Institute; Parasol Press; Paragon Press; Charles Booth-Clibborn; Bernard Jacobson,Minneapolis Institute of Art; RISD Museum; Norton Simon Museum; Royal Academy of Arts; Museum of Modern Art,,,,,,,https://www.macearchive.org/films/central-news-13011983-lithographer,,Abigail Shim,,image,.png,10132.png,/objects/10132.png,/objects/small/10132_sm.jpg,/objects/thumbs/10132_th.jpg
10133,,Chen Lok Lee,,,circa 1973,Tamarind Institute printer fellow January-October 1973,Image,Silhouette; Asian; Chinese; animal; dragon,unknown,Fredrick Hammerseley; Pat Steir,Richard Callner,Tamarind Institute; Mantegna Press II,New Mexico Museum of Art,,,,,,,https://chenlokleeartist.com/,,Abigail Shim,,image,.png,10133.png,/objects/10133.png,/objects/small/10133_sm.jpg,/objects/thumbs/10133_th.jpg
10134,,Jason Leese,,,circa 1963,Tamarind Institute printer fellow January-December 1963,Letter,hollow; cursive; type; initial; J,unknown,Sam Francis; Peter Takal; Louise Nevelson; Philip Guston; June Wayne; G. Ray Kerciu; Sonia Getchoff; Gabriel Kohn; John McLaughlin,,Tamarind Institute,National Gallery of Art; Amon Carter Museum of American Art; Baltimore Art Museum,,,,,,,,,Abigail Shim,,image,.png,10134.png,/objects/10134.png,/objects/small/10134_sm.jpg,/objects/thumbs/10134_th.jpg
10135,,Jack Lemon,"Chicago, IL; Santa Fe, NM",,circa 1960s- 2020s,Tamarind Institute printer fellow April-September 1966,Letter,initials; initial; combined; handwriting; J; H; L,unknown,Christo; Philip Pearlstein; Sol LeWitt; Judy Chicago; Roger Brown; Jeannette Pasin Sloan; Vito Acconci William T. Wiley; Robert Cottingham; Emmi Whitehorse; Joe Feddersen; Hock E Aye Vi Edgar Heap of Birds; Gerald Peter Jemison; Truman Lowe; Mario Martinez; Duane Slick; Jaune Quick-to-See Smith; Kay WalkingStick; Melanie Andrew Yazzie; Jesse Reichek; Peregrine Honig; H. C. Westermann; Chuck Close,June Wayne; Kenneth Tyle; Michael Berdan; Brian Lynch; Heidijo Lemon; Barbara Spies; Ed Paschke; Sarah Pavlus; Steve Campbell; Nancy Featherstone; Marion Karl; David Keister; Fred Gude,Landfall Press; Tamarind Institute,National Gallery of Art; Spencer Museum of Art; Minneapolis Institute of Art; RISD Museum; The Art Institute of Chicago; Smithsonian American Art Museum; The Ross Art Collection-University of Michigan; Modern Art Museum of Fort Worth; Brooklyn Museum; Marianna Kistler Beach Museum of Art; Hood Museum of Art-Dartmouth; Smith College Museum of Art; Norton Simon Museum,Intaglio,,,,,,https://soundcloud.com/helloprintfriend/episode-128-jack-lemon,,Abigail Shim,,image,.png,10135.png,/objects/10135.png,/objects/small/10135_sm.jpg,/objects/thumbs/10135_th.jpg
10136,,Bruce Lowney,,,circa 1965-1968,Tamarind Institute printer fellow July-December 1967,Shape,Shape; Circle; spikes; four,unknown,Frank Stella; Jasper Johns; Wayne Thiebaud; William Crutchfield; Irene Siegel; Alfred Young; Richard Diebenkorn,James Webb; Charles Ritt; Kenneth Tyler; Dan Gualdoni; Octavio Pereira,Gemini G.E.L.; Tamarind Institute; Original Press,National Gallery of Art; Smithsonian American Art Museum; Museum of Modern Art; Fine Arts Museum of San Francisco; Norton Simon Museum of Art; Baltimore Museum of Art; Christchurch Art Gallery,,,,,,,,,Abigail Shim,,image,.png,10136.png,/objects/10136.png,/objects/small/10136_sm.jpg,/objects/thumbs/10136_th.jpg
10137,,William Masi,"Albuquerque, NM",,circa 1975-1977,Tamarind Institute printer fellow January 1976-December 1977,Image,Plant; flower; vegetable; nature; artichoke,unknown,Ulfert Wilke; Alvin Doyle Moore; George McNeil; Andrew Dasburg; Kenneth Price,Toby Michel; John Sommers,Tamarind Institute,National Gallery of Art; Hammer Museum,,,,,,,,,Abigail Shim,,image,.png,10137.png,/objects/10137.png,/objects/small/10137_sm.jpg,/objects/thumbs/10137_th.jpg
10138,,George Miyasaki,"Berkeley, CA",,circa early 1960s,Tamarind Institute printer fellow August-September 1961,Letter,Handwriting; initials; G; M; Letters,unknown,Willem De Kooning; Misch Kohn,Nathan Oliveira,Tamarind Institute,Fine Arts Museum of San Francisco; Yale University Art Gallery; Smithsonian American Art Museum,,,,,,,https://georgemiyasaki.com/George_Miyasaki/Bio.html,,Abigail Shim,,image,.png,10138.png,/objects/10138.png,/objects/small/10138_sm.jpg,/objects/thumbs/10138_th.jpg
10139,,Lynne Allen,"Boston, Massachusetts",,circa 1980,"Tamarind Institute master printer, Tamarind Institute master printer 1983-1987, Tamarind Institute staff printer 1982-1983, Tamarind Institute senior printer fellow June 1981-May 1982, Tamarind Institute printer training participant August 1980-May 1981",Image,feather leaning diagonally,unknown,,John Sommers,Tamarind Institute,Whitney Museum of American Art; the Museum of Modern Art Library; the New York Public Library; New York; the Corcoran Gallery of Art; the Library of Congress; Washington; D.C and the Victoria & Albert Museum; London,Intaglio,,,,,,https://www.lynneallen.com/about#artist,,Romina Mendoza,,image,.png,10139.png,/objects/10139.png,/objects/small/10139_sm.jpg,/objects/thumbs/10139_th.jpg
10140,,Sarah Amos,"Enosburg Falls, Vermont",,1990-present,"Tamarind Institute master printer, Tamarind Institute senior printer fellow January-December 1991, Tamarind Institute printer training participant August-December 1990",Image,figure; legs; dancer,unknown,,,Tamarind Institute; Vermont Studio Center Press,The Hood Museum; Dartmouth College V.R.C; Flemmington; La Trobe University Museum; Time Warner; Permanent Collection Alliance Capitol; The Katonah Museum; Dartmouth - Hitchcock; Permanent Collection; The Robert Hull Fleming Museum,Intaglio,,,,,,https://www.sarahamosstudio.com/bio.php,,Romina Mendoza,,image,.png,10140.png,/objects/10140.png,/objects/small/10140_sm.jpg,/objects/thumbs/10140_th.jpg
10141,,Garo Antreasian,"Albuquerque, New Mexico",,1948-2018,"Tamarind Institute master printer, Tamarind Institute technical director 1970-1972, Tamarind Institute technical consultant 1961-1970, Tamarind Institute technical director July 1960-June 1961",Letter,Initials G;A; cursive,unknown,Will Barnet; Louise Nevelson; Leonard Edmondson,Ken Tyler; June Wayne; Clinton Adams,Tamarind Litho Workshop in LA; Tamarind Institute,Albuquerque Museum of Art; the University of New Mexico Museum of Art; the Metropolitan Museum of Art and the Museum of Modern Art in NYC; the Boston Museum of Art; the Smithsonian American Art Museum; the Brooklyn Museum; the Art Institute of Chicago; the Guggenheim Museum; the Indianapolis Museum of Art; the Library of Congress and the Los Angeles County Museum of Ar,,,,,,,https://www.antreasian.com/garo-antreasian,,Romina Mendoza,,image,.png,10141.png,/objects/10141.png,/objects/small/10141_sm.jpg,/objects/thumbs/10141_th.jpg
10142,,John Muench,"Portland, ME",,circa 1952-1961,Tamarind Institute printer fellow August-September 1961,Letter,cursive; M,unknown,Emerson Woelffer; Adolf Dehn,Buhoslav Horak; Garo Antreasian,Tamarind Institute,Hammer Museum; Museum of Modern Art; Portland Art Museum; Wellin Museum of Art- Hamilton College,,,,,,,https://www.annexgalleries.com/artists/biography/2979,,Abigail Shim,,image,.png,10142.png,/objects/10142.png,/objects/small/10142_sm.jpg,/objects/thumbs/10142_th.jpg
10143,,Kenjilo Nanao,"Bay Area, CA",,circa 1968-1969,Tamarind Institute printer fellow October 1968-January 1969,Shape,Shape; Circle; Line; Squiggle; Curve,unknown,Clinton Adams; Kenneth Price; Ed Ruscha; Leon Polk Smith; Mel Ramos,Manuel Fuentes; Donald Kelley; Jean Milant; Robert Rogers; Dan Socha; John Sommers,Tamarind Institute; Crown Point Press,National Gallery of Art; Norton Simon Museum; Amon Carter Museum of American Art; Brooklyn Museum; Fine Arts Museum of San Francisco; RISD Museum,,,,,,,https://www.annexgalleries.com/artists/biography/1698,,Abigail Shim,,image,.png,10143.png,/objects/10143.png,/objects/small/10143_sm.jpg,/objects/thumbs/10143_th.jpg
10144,,Richard Newlin,"Houston, TX",,circa 1970s,Tamarind Institute printer fellow July 1972-March 1974,Image,Abstract; Branch; mountain; silhouette,unknown,Ed Ruscha; Elaine de Kooning; R.C. Gorman; Richard Diebenkorn,Yoko Saito; Chris Fox; Nathan Oliveira,Cirrus Editions; Houston Fine Art Press; Tamarind Institute; Crown Point Press,Hammer Museum; Adobe Gallery,,,,,,,https://houstonfineartpress.com/pages/about.html,,Abigail Shim,,image,.png,10144.png,/objects/10144.png,/objects/small/10144_sm.jpg,/objects/thumbs/10144_th.jpg
10145,,Thom O’Connor,"Albany, NY",,circa 1963-1964,Tamarind Institute printer fellow February-August 1964,Letter,O; Letter; Irish;,unknown,Anni Albers; Paul Brach; Nathan Oliveira; John Grillo; Artemio Sepulveda; Dick Wray,Irwin Hollander,Tamarind Institute,University at Albany Fine Art Collections; National Gallery of Art; The Indianapolis Museum of Art Collection; Norton Simon Museum; Smithsonian American Art Museum,,,,,,,https://www.annexgalleries.com/artists/biography/1758,,Abigail Shim,,image,.png,10145.png,/objects/10145.png,/objects/small/10145_sm.jpg,/objects/thumbs/10145_th.jpg
10146,,James Reed,"Bridgeport, CT",,circa 1974,Tamarind Institute printer fellow October 1973-January 1975,Shape,Silhouette; knife; utensil; feather,unknown,Gordon Nunes,,Milestone Graphics; Tamarind Institute,Hammer Museum,,,,,,,,,Abigail Shim,,image,.png,10146.png,/objects/10146.png,/objects/small/10146_sm.jpg,/objects/thumbs/10146_th.jpg
10147,,Donald Roberts,"Athens, OH",,circa 1962,Tamarind Institute printer fellow September-November 1962,Letter,Initials; initial; D; R,unknown,Esteban Vincente; John McLaughlin,Jim Dine,Tamarind Institute,Indianapolis Museum of Art; Amon Carter Museum of American Art,,,,,,,,,Abigail Shim,,image,.png,10147.png,/objects/10147.png,/objects/small/10147_sm.jpg,/objects/thumbs/10147_th.jpg
10148,,John Rock,"Portland, OR",,circa 1965,Tamarind Institute printer fellow November 1962-March 1963 and August-November 1965,Letter,Initials; J; R,unknown,Jesse Reichek; Ruth Asawa; Leon Golub,,Tamarind Institute,orton Simon Museum; Fine Arts Museum of San Francisco,,,,,,,https://www.arts.wa.gov/collection/artist-collection/?id=4094,,Abigail Shim,,image,.png,10148.png,/objects/10148.png,/objects/small/10148_sm.jpg,/objects/thumbs/10148_th.jpg
10149,,Robert Rogers,,,circa 1968-1969,Tamarind Institute printer fellow January 1968-April 1969,Letter,Initials; Symmetric; R; Circle,unknown,John Baldessari; Kenneth Price; Clinton Adams; Micheal Mazur; Eleanore Mikus; Ed Ruscha; James Strombotne; Karl Kasten; Ed Moses; Seymour Rosofsky; Leon Polk Smith; H.C. Westermann,Maneul Fuentes; Donald Kelley; Jean Milant; Kenjilo Nanao; Dan Socha; John Sommers,Nova Scotia College of Art and Design; Tamarind Institute,National Gallery of Art; Norton Simon Museum; Amon Carter Museum of American Art; Hammer Museum,,,,,,,https://www.aaa.si.edu/collections/items/detail/interview-bob-rogers-24415,,Abigail Shim,,image,.png,10149.png,/objects/10149.png,/objects/small/10149_sm.jpg,/objects/thumbs/10149_th.jpg
10150,,Lothar Osterburg,"Red Hook, NY",,circa 1990s,,Letter,Signature; O; handwriting; scribble,unknown,Pat Steir; Bryan Hunt; Christian Boltanski; Sol LeWitt; John Baldessari,Daria Sywulak; Renee Bott; Lawrence J. Hamlin; Paul Mullowney; Pamela Paulson; Brian Shure,Crown Point Press,National Gallery of Art; Fine Arts Museum of San Francisco; Brooklyn Museum,Intaglio,,,,,,https://lotharosterburgphotogravure.com/,,Abigail Shim,,image,.tif,10150.tif,/objects/10150.tif,/objects/small/10150_sm.jpg,/objects/thumbs/10150_th.jpg
10151,,Robert Arber,"Marfa, Texas",,circa 1970,"Tamarind Institute master printer, Tamarind Institute printer fellow June 1971-March 1973",Shape,symmetry; lines; curves;,unknown,David Rabinowitch; Charles R. Rushton; Donald Judd; Bruce Nauman,,Tamarind Institute; Arber and Son Editions,National Gallery of Art; Albuquerque Museum,,,,,,,,,Romina Mendoza,,image,.png,10151.png,/objects/10151.png,/objects/small/10151_sm.jpg,/objects/thumbs/10151_th.jpg
10152,,Christopher Armijo,"Denver, Colorado",,circa 1998-2005,"Tamarind Institute master printer, Tamarind Institute senior printer fellow June 1998-May 2000, Tamarind Institute printer training participant August 1998-May 1999",Image,Bomb; graphic; half circle,unknown,Squawk Carnwath; Faith Ringgold,Randy Hemminghaus; Alexa Burns; Kristin Cavanaught,Tamarind Institute,Fine Arts Museums of San Francisco; Philadelphia Museum of Art,,,,,,,https://www.christopherarmijo.com/about-me,,Romina Mendoza,,image,.png,10152.png,/objects/10152.png,/objects/small/10152_sm.jpg,/objects/thumbs/10152_th.jpg
10153,,Mark Attwood,"Mpumalanga, South Africa",,1989-present,"Tamarind Institute master printer, Tamarind Institute senior printer fellow January-December 1990, Tamarind Institute printer training participant August-December 1989",Letter,Initial M; Initial A; graphic,unknown,"Walter Battiss; Norman Catherine; Guiseppe Cattaneo
 Simon Attwood; Nxabe; Cgoise; Ankie; William Kentridge; Eric Avery; Banele Khoza; Nabeeha Mohamed; Robert Hodgins; Deborah Bell; Hanneke Benade; Willem Boshoff; Thami Jali; Andre Naude",Jacky Tsila,The Artists’ Press. Tamarind Institute,,,,,,,,https://www.artprintsa.com/Mark-Attwood.html,,Romina Mendoza,,image,.png,10153.png,/objects/10153.png,/objects/small/10153_sm.jpg,/objects/thumbs/10153_th.jpg
10154,,Joy Purmal Baker,"Albuquerque, New Mexico",,1976-1989,"Tamarind Institute master printer, Tamarind Institute printer fellow January 1976-June 1977",,graphic; ring; curved; lines;,unknown,Andrew Dasburg; Robert B. Montoya (Soe Khuwa Pin); Sandia Pueblo/ Ohkay Owingeh (San Juan Pueblo),John Sommors; Fritz Scholder,Tamarind Institute,Albuquerque Museum; National Museum of American Indian,,,,,,,,,Romina Mendoza,,image,.png,10154.png,/objects/10154.png,/objects/small/10154_sm.jpg,/objects/thumbs/10154_th.jpg
10155,,Lynn Baker,,,circa 1973-1977,"Tamarind Institute master printer, Tamarind Institute master printer 1975-1977, Tamarind Institute printer fellow January 1973-December 1974",Image,graphic; double lines; curved shape; animal; walrus,unknown,Fritz Scholder; Richard Haas; Martyl; R.C Gorman; Nicholas Krushenick; Frederick Hammersley; Martyl,Robert Blanchard; Marlys Dietrick,Tamarind Institute,Smithsonian Art Museum; The Cleveland Museum of Art; National Gallery of Art,Lithography,,Color Lithography (Chromolithograph),,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Romina Mendoza,"Information about this mark is courtesy of The Annex Galleries with additional research by Romina Mendoza, Syracuse University. ",compound_object,.jpg,10155.jpg,/objects/10155.jpg,/objects/small/10155_sm.jpg,/objects/thumbs/10155_th.jpg
10155-00,10155,Lynn Baker,,,circa 1973-1978,"Tamarind Institute master printer, Tamarind Institute master printer 1975-1977, Tamarind Institute printer fellow January 1973-December 1975",Image,graphic; double lines; curved shape; animal; walrus,unknown,Fritz Scholder; Richard Haas; Martyl; R.C Gorman; Nicholas Krushenick; Frederick Hammersley; Martyl,Robert Blanchard; Marlys Dietrick,Tamarind Institute,Smithsonian Art Museum; The Cleveland Museum of Art; National Gallery of Art,Lithography,,Color Lithography (Chromolithograph),,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Romina Mendoza,"Information about this mark is courtesy of The Annex Galleries with additional research by Romina Mendoza, Syracuse University. ",image,.png,10155-00.png,/objects/10155-00.png,/objects/small/10155-00_sm.jpg,/objects/thumbs/10155-00_th.jpg
10155-01,10155,Lynn Baker,,,circa 1973-1979,"Tamarind Institute master printer, Tamarind Institute master printer 1975-1977, Tamarind Institute printer fellow January 1973-December 1976",Image,graphic; double lines; curved shape; animal; walrus,unknown,Fritz Scholder; Richard Haas; Martyl; R.C Gorman; Nicholas Krushenick; Frederick Hammersley; Martyl,Robert Blanchard; Marlys Dietrick,Tamarind Institute,Smithsonian Art Museum; The Cleveland Museum of Art; National Gallery of Art,Lithography,,Color Lithography (Chromolithograph),,,,,"Devon, Marjorie, ed. 2000. Tamarind: Forty Years. University of New Mexico Press.",Romina Mendoza,"Information about this mark is courtesy of The Annex Galleries with additional research by Romina Mendoza, Syracuse University. ",image,.jpg,10155-01.jpg,/objects/10155-01.jpg,/objects/small/10155-01_sm.jpg,/objects/thumbs/10155-01_th.jpg
10156,,Karen Beckwith,"Cleveland, Ohio",,1987-present,"Tamarind Institute master printer, Tamarind Institute senior printer fellow June 1997-May 1998, Tamarind Institute printer training participant August 1996-May 1997",Image; Shape,bear; abstracted; morphed,unknown,Clinton Adams; Beth Campbell; Tony Fitzpatrick; Betty Hahn; Roberto Juarez; Sandra Ramos; Doug Sanderson,,K2 Art Studio; Tamarind Institute; Ping Pong Press,rchives of the Western Reserve; Columbia College; Southern Graphics Council; Tamarind Institute of Lithography; Institute Chileno Norteamericano; The Fine Arts School in Bangalore; India; The BF Goodrich Corporation; The Cleveland Museum of Art; The Progressive Art Collection,,,,,,,https://www.karendbeckwith.com/biography-printmaker-karen-beckwith-cleveland-ohio,,Romina Mendoza,,image,.png,10156.png,/objects/10156.png,/objects/small/10156_sm.jpg,/objects/thumbs/10156_th.jpg
