objectid,parentid,title,display_location,date,active_years,biographical_notes,subject,visual_description,size,artists,printers,publishers,institutions,associated_techniques,intaglio_specific,lithography_specific,relief_specific,screenprint_specific,other_techniques,website,source,submitter,credit,display_template,filetype,filename,object_location,image_small,image_thumb
10109,,John Butke,"Albuquerque, NM",,circa 1967-1971,Tamarind Institute printer fellow September 1966-September 1967 and August 1970-January 1972,Letter,Initial; Initials; J; B; Handwriting; Cursive; Signature,unknown,Clinton Adams; Dorothy Dehner; James Boynton; Stanley William Hayter; Paul Sarkisian,Anthony Stoeveken; Dan Socha; Chris Cordes; Don Kinner; John Maggio; Lloyd Baggs; Robert Arber; Wayne Kimball; Wayne Simpkins,Tamarind Institute,National Gallery of Art; Albuquerque Museum; Norton Simon Museum; Hammer Museum,,,,,,,,,Abigail Shim,,image,.png,10109.png,/objects/10109.png,/objects/small/10109_sm.jpg,/objects/thumbs/10109_th.jpg
10110,,Wesley Chamberlin,"Los Angeles, CA",,circa 1961-1962,Tamarind Institute printer fellow January-May 1962,Letter,Initial; C; Type; Serif,unknown,Jerome Kaplan; Carl Morris; William Brice; Richard Diebenkorn,,Tamarind Institute,Amon Carter Museum of American Art; Stanley Museum of Art of University of Iowa; Fine Arts Museum of San Francisco,Intaglio,,,,,,,,Abigail Shim,,image,.png,10110.png,/objects/10110.png,/objects/small/10110_sm.jpg,/objects/thumbs/10110_th.jpg
10111,,John E. Dowell Jr.,"Albuquerque, NM; Philadelphia, PA",,circa 1963-1964,Tamarind Institute printer fellow February 1963-August 1964,Letter,Initials; Symbols; Angles; J; D,unknown,Louise Nevelson; Hugo Weber; Sonia Gechtoff; Nathan Oliveira; Sam Francis; JunÕichiro Sekino; Gabriel Kohn; Josef Albers; Allen Jones; Peter Takal,,Tamarind Institute,Smithsonian American Art Museum; Amon Carter Museum of American Art,,,,,,,https://en.wikipedia.org/wiki/John_E._Dowell_Jr.,,Abigail Shim,,image,.png,10111.png,/objects/10111.png,/objects/small/10111_sm.jpg,/objects/thumbs/10111_th.jpg
10001,,Tamarind Institute,"Los Angeles, CA (1960 - 1970); Albuquerque, NM (1970 - present)",,1960 - present,,Shape,T; paper; lamp,unknown,,June Wayne,,,Lithography,,,,,,https://tamarind.unm.edu/,,Theresa Engelbrecht,,image,.png,10001.png,/objects/10001.png,/objects/small/10001_sm.jpg,/objects/thumbs/10001_th.jpg
10014,,Teaberry Press,"Chicago, IL (1975 - 1977); Oakland, CA (1977 - circa 1993)",,1975 - circa 1993,,Shape; Word,biomorphic; face; abstract; teaberry; press; hat,unknown,Jim Nutt; Roger Brown; William T. Wiley; Mark Adams; Norman Ackroyd; Peter Alexander; Terry Allen; Robert Arneson; Charles Arnoldi; John Baeder; Squeak Carnwrath; Christo; Gordon Cook; Robert Cottingham; Laddie Dill; James Ford; Rupert Garcia; Oliver Jackson; Jacob Kainen; Tom Knechtel; Don Nice; Claes Oldenburg; Deborah Orapallo; Sabina Ott; Ed Paschke; Philip Pearlstein; Ed Ruscha; Irvin Tepper; Pat Steir; Anne Thornycroft; Jim Torlakson; Jack Tworkov; Beth van Hoesen,Timothy Berry,Landfall Press,,Intaglio,,,,,,,,Theresa Engelbrecht,,image,.jpg,10014.jpg,/objects/10014.jpg,/objects/small/10014_sm.jpg,/objects/thumbs/10014_th.jpg
10004,,Styria Studio,"New York, NY",,circa 1970 - circa 1983,,Image; Word,lion; animal; griffin; seal; fire; styria; studio; words,unknown,Robert Rauschenberg; Andy Warhol; Alex Katz; James Rosenquist; Nam June Paik; Richard Serra; Cy Twombly; Claes Oldenberg; Jim Dine; Mark di Suvero; Lee Bontecou; Dan Flavin; Sol Lewitt,Robert Blanton,Brand X Editions,,,,,,,,,,Theresa Engelbrecht,,image,.jpg,10004.jpg,/objects/10004.jpg,/objects/small/10004_sm.jpg,/objects/thumbs/10004_th.jpg
10006,,Gemini G.E.L.,"Los Angeles, CA",,1966 - present,,Shape,gemini; twins; circle; II,unknown,Richard Artschwager; John Baldessari; Larry Bell; Ross Bleckner; Jonathan Borofsky; Cecily Brown; Chris Burden; Sophie Calle; Vija Celmins; William Crutchfield; Ron Davis; Tacita Dean; Thomas Demand; Richard Diebenkorn; Sam Francis; Frank Gehry; Allen Ginsberg; Robert Gober; Joe Goode; Philip Guston; Ann Hamilton; David Hammons; Michael Heizer; David Hockney; Jasper Johns; Ellsworth Kelly; Toba Khedoori; Edward & Nancy Kienholz; Roy Lichtenstein; Man Ray; Brice Marden; Julie Mehretu; Malcolm Morley; Elizabeth Murray; Bruce Nauman; Isamu Noguchi; Claes Oldenburg; Darryl Pottorf; Ken Price; Robert Rauschenberg; Darryl Pottorf & Robert Rauschenberg; Dorothea Rockburne; James Rosenquist; Susan Rothenberg; Allen Ruppersberg; Ed Ruscha; Analia Saban; Richard Serra; Joel Shapiro; Keith Sonnier; Saul Steinberg; Frank Stella; Richard Tuttle; Franz West; Terry Winters,Kenneth Tyler; Sidney Felsen; Stanley Grinstein,Tamarind Institute,National Gallery of Art,Intaglio,,,,,,https://www.geminigel.com/,,Theresa Engelbrecht,,image,.jpeg,10006.jpeg,/objects/10006.jpeg,/objects/small/10006_sm.jpg,/objects/thumbs/10006_th.jpg
10010,,Chiron Press,"New York, NY",,1963 - 1968,,Word,words; chiron; press; new; york; new york; chiron press,unknown,Andy Warhol; Roy Lichtenstein; Larry Rivers; James Rosenquist; Claes Oldenburg; Marisol; Elaine de Kooning; Helen Frankenthaler; Nicholas Krushenick; Alfred Jensen; Janet Fish; Valerie Jaudon; Richard Kalina; Marisol; Richard Anuszkiewicz; Ernest Trova; Alan Jones; Peter Phillips; Gerald Laing,Steve Poleskie; Brice Marden,,,,,,,,,,,Theresa Engelbrecht,,image,.jpg,10010.jpg,/objects/10010.jpg,/objects/small/10010_sm.jpg,/objects/thumbs/10010_th.jpg
10015,,London Arts Group,"London, UK",,circa 1966 - present?,,Letter; Shape,letter; l; a; g; geometric,unknown,Yaacov Agam; Karel Appel; Arman; Romare Bearden; Gene Davis; Don Eddy; Alberto Giacometti; Lester Johnson; Alex Katz; Richard Lindner; Roberto Matta; Lowell Nesbitt; Robert Rauschenberg; Harry Bertoia; Victor Vasarely; Larry Zox,,,,,,,,,,https://londonartsgroup.com/,,Theresa Engelbrecht,,image,.jpg,10015.jpg,/objects/10015.jpg,/objects/small/10015_sm.jpg,/objects/thumbs/10015_th.jpg
10013,,Taller de Grafica Mexicana,Mexico City,,1969-1973,,Letter,initials T G M,unknown,Rufino Tamayo,Luis Remba; Lea Remba,Mixografia,,,,,,,,,,Saluti,,image,.jpeg,10013.jpeg,/objects/10013.jpeg,/objects/small/10013_sm.jpg,/objects/thumbs/10013_th.jpg
